UTTERANCES,actor.gender,gr.amount,movie.country,movie.directed_by,movie.estimated_budget,movie.genre,movie.gross_revenue,movie.initial_release_date,movie.language,movie.locations,movie.music,movie.produced_by,movie.production_companies,movie.rating,movie.starring.actor,movie.starring.character,movie.subjects,none,person.date_of_birth
get me canadian movies,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i want to know about life is beautiful,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
movie little women release date is when,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
what movies have brad pitt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what year did spielberg start directing movies,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
what genre is network in,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
search movie actors,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
what was the budget for avatar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what are some movies made outside the us,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
look for movies produced by morgan freeman,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
list the hindi movies,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
which country made elizabeth,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
origin of gone with the wind,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what age is black swan appropriate for,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
find me movies made by alfred hitchcock,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
who was the producer for the movie hitch,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
who was the star in hitch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what was the budget for the avengers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
director for anne of green gables,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
find movies from france,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
what are the different languages this movie come in,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
what was the budget for the hobbit,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mandarin movie please,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
name the movies clive owen has been in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
what company is the producer of inception,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
can you show me information on will ferrell please,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
which movies has angelina jolie been in,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
i want to go to the homepage for in july,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
show me more information about will smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
